,Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Developer,Rating
42,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12610000,97,Rockstar North,M
62,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9900000,78,Nintendo,E
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9160000,88,Nintendo,E
77,FIFA 16,PS4,2015,Sports,Electronic Arts,8570000,82,EA Sports,E
92,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7660000,83,Sledgehammer Games,M
94,FIFA 17,PS4,2016,Sports,Electronic Arts,7590000,85,"EA Sports, EA Vancouver",E
105,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7160000,87,Bethesda Game Studios,M
110,Mario Kart 8,WiiU,2014,Racing,Nintendo,7090000,88,Nintendo,E
143,FIFA 15,PS4,2014,Sports,Electronic Arts,6080000,82,EA Sports,E
154,Destiny,PS4,2014,Shooter,Activision,5640000,76,"Bungie Software, Bungie",T
165,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,5480000,97,Rockstar North,M
171,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5380000,93,Naughty Dog,T
179,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5270000,81,Sledgehammer Games,M
185,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5220000,84,Nintendo,E
192,Diablo III,PC,2012,Role-Playing,Activision,5140000,88,Blizzard Entertainment,M
231,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4620000,86,Bluepoint Games,T
235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4590000,86,Next Level Games,E
242,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4480000,84,343 Industries,T
245,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4460000,77,Infinity Ward,M
247,Splatoon,WiiU,2015,Shooter,Nintendo,4430000,81,Nintendo,E10+
248,Nintendo Land,WiiU,2012,Misc,Nintendo,4420000,77,Nintendo,E10+
260,Super Mario 3D World,WiiU,2013,Platform,Nintendo,4320000,93,Nintendo,E
270,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4220000,88,Bethesda Game Studios,M
289,Battlefield 1,PS4,2016,Shooter,Electronic Arts,4080000,88,EA DICE,M
